評価なら,残業時間も,半減だ
検査はやっ,タクト半減,笑顔倍
コラボすりゃ,2秒で検査,出来るかな
コラボ先,画像一筋,マジ卍
製品を,2倍食べても,ダイエット
画像処理,検査倍速,機器スリム
弊社さん,出来る技術が,高性能
照明を,アップグレード,協力者
アイテムを,アラインメント,アイディアで
インポート,アルゴリズムが,アドバイス
エスケープ,エクスポートと,位置決めだ
エンジニア,エッジ検出,位置補正
オペレータ,外観検査を,エッセンス
解像度,拡散照明,外注品
稼働時間,金型監視,カスタム品
許容誤差,カメラケーブル,カテゴリー
競合社,品種切り替え,キーパーソン
設計図,キャリブレーション,基準位置
形状が,組立ラインで,疑似カラー
計測器,繰り返し精度,吸収だ
測定器,レンズのケラレ,繰り返す
ロボットで,弊社ならでは,ロボットで
半減だ,,弊社なら
笑顔倍,検査基準が,検査はやっ
出来るかな,検査マニュアル,コラボすりゃ
マジ卍,検収のあとも,コラボ先
ダイエット,現地生産,製品を
機器スリム,原点復帰で,画像処理
高性能,高解像度の,弊社さん
アイディアで,光軸調整,照明を
アドバイス,コストパフォーマンス,アイテムを
位置決めだ,コスト安くて,インポート
位置補正,使える機器が,エスケープ
エッセンス,性能重視の,エンジニア
外注品,コマンドテーブル,オペレータ
カスタム品,故障のリスクが,解像度
カテゴリー,誤動作しない,稼働時間
キーボード,コントラストが,許容誤差
基準位置,コントロールを,競合社
疑似カラー,サブ画素処理で,設計図
吸収だ,差分検出,形状だ
繰り返す,高性能な,計測器
解決だ,試作品にも,測定器
互換性,延長ケーブル,弊社だよ
コネクター,実装できる,弊社だな
しきい値が,自動運転,解決だ
自動化で,手動運転,互換性
純正品,自動化手伝う,コネクター
初期設定,射出形成,誤検出
上位機種,初期設定でも,樹脂かぶり
精度良く,照合できる,実寸法
スケジュール,スカラロボット,上位機種
設定が,スペシャリストが,上位互換
出来るはず,寸法検査を,真位置度
組み合わせ,正規化相関,スケジュール
ありがとう,生産ラインを,精度良く
できちゃった,接点出力,出来るはず
弊社だけ,絶えまぬ努力,組み合わせ
良くなった,市場の中でも,ありがとう
最新の,抜群だよね,できちゃった
営業さん,安くて速い,弊社だけ
技術さん,技術力高く,良くなった
開発力,目をみはる速度,最新だ
セキュリティ,検査以外でも,みな笑顔
使いやすい,着目点が,感謝だね
感謝だね,使いやすさが,速くなる
高効率,速くかつ安い,安くなる
ソフトウェア,生産工程,使いやすい
超深度,生産技術を,なお安い
手間いらず,全数検査の,なお便利
特別な,弊社の真価,底上げだ！
特注の,弊社が一番,力持ち
検査なら,弊社は出来る,立役者
外観の,やっぱり弊社で,高効率
歪みなし,当然弊社が,注文書
すごいです,カスタム製品,シンプルに
品管も,段取り替えでも,簡単だ
社長さんも,調整しやすく,うれしいね
困ったな。。。,簡単操作で,楽しいね
出来るかな。。。,追加検査も,検出だ！
どうしよう。。。,項目増えても,楽勝だ！
出来るかも,未知の不良も,余裕だね
AIは,点検作業が,手間省く
今までは,転送速度が,手間いらず
これからは,複雑設定,やりますよ
出来るなら,キレイな画像が,出来ました
凄まじい,トータルタクトが,見栄え良く
処理速度,訓練なくても,検査映え
傷検査,知識がなくても,ポイントだ
3D,経験なくても,注目だ
自動車の,弊社の強み,すごかった
コネクタの,弊社の強さ,ナンバーワン
寸法の,弊社らしさで,一番だ
統計の,弊社だからの,調子いい
モデルでの,ボトルネックも,かっこいい
上限は,頭抱える,オシャレだね
オフセット,ライバル蹴散らす,唯一無二
複数の,みんなうらやむ,新感覚
システムは,後悔させない,喜んだ
検出は,さらに上行く,グッとくる
生産の,誰も知らない,ヒットする
OIM,君も知らない,じっと待つ
miniR,見たこともない,ピンと合う
mini7,信じられない,ぼちぼちだ
U2は,期待以上の,凛とする
C2は,比べようがない,ハッとする
STは,予想以上の,きっと来る
ストロボで,想定外の,やっと来た
高輝度の,予想できない,Goodだね
照明で,これまでにない,ぽっと出た
テレセンの,誰も出来ない,きびきびと
単焦点,もう現れない,しみじみと
カメラでは,収集つかない,きっと勝つ
基準値の,十分満足,おっとっと
計画を,予想裏切る,カッとなる
工程の,期待通りの,ゲットする
検査員,言うまでもなく,GOを出す
従業員,言われた以上に,ざっと読む
調整を,相談してね,ずっと好き
対象が,まずは相談,ずっとマシ
サンプルを,冗談じゃない,ずっと出る
まだ出来る,冗談みたいな,ゾッとする
これ以上,笑い話の,絶対だ
既製品,パターンサーチが,ずるずると
クラックは,コスト重視で,ビビビだね
鋳造品,改善要望,ムッとする
問い合わせ,自動検査の,もう出来た
使い様,変更しやすい,ラッキーだ
あわよくば,エッジサーチが,律儀だよ
時系列,そんな期待に,使い様
日本語で,困りごとにも,いただける
稀に見る,その問題なら,いただきます
これだけで,その手間さえも,なりました
言うなれば,その気持ちわかる,ご容赦を
これ使い,損はさせない,乞うご期待
漏れがない,必ず解決,関心だ
今以上,必ずやれる,ご相談
期待する,お困りですか？,ごめんなさい
性能は,それだけでいい？,すみません
アメリカの,十分かしら？,比べない
中国の,本当ですか？,すかさずに
タイランド,満足ですか？,手を抜かず
台湾の,問題ですか？,瞬く間
マレーシア,期待しましょう,一瞬で
上海の,中途半端は,一週間
深センの,全国各地,安定だ
バンコクの,全世界中,見直した
危機意識,世界規模なら,お急ぎで
危機管理,精鋭たちが,もう少し！
世話になる,少数精鋭,存じます
レポートに,精鋭部隊が,ご協力
疲れたよ,一撃必殺,いたします
まずこれだ！,一心不乱に,頂きたい
しばらくは,”無双”するほど,対策だ
立ち上げで,検査”無双”の,いないかな？
開発で,さらなる”次元”へ,していない？
負担だね。。。,老若男女に,わかります
煩わしい。。。,誰でもわかる,承知です
難しい。。。,みんな大好き,御名答
またとない,欲張ってもいい,常識だ
これまでの,負担にならず,巧妙だ
デカすぎる,過度な期待を,無限大
慈悲深い,空前絶後の,お疲れさん
似て非なる,血気盛んな,ホットライン
平然と,スーパーマシンで,素晴らしい
悠然と,日々進化する,奇跡だね
悠々と,チャンスを掴む,ご注意を
万全の,コツコツやるのが,悔しいね
濃淡の,しみじみ想う,肝となる
初志貫徹,ふと気づくとき,肝でした
ハイスペの,質実剛健,肝心だ
ライティング,最上位クラス,いざやるぞ
ハイテクの,上位クラスの,いざゆかん
上流の,仕組み作りが,しょうがない
最強の,ずっと一緒に,なんだかなぁ
一筋の,来たら来たで,意味を持つ
春の日の,人生と同じ,意味がある
夏の日の,急務となるか,意味となる
秋の日の,颯爽と現る,意義がある
冬の日も,紹介出来る,人生だ
現代の,リストアップで,救世主
未来でも,寝る暇ないほど,預言者だ
過去よりの,一日二日で,眠れない
昔から,想いにかける,ガイダンス
かねてより,組み立てなどにも,最適だ
これからの,弊社製品,稼働する
異次元の,ハイスペックの,ローコスト
本当です,あえて出さない,テクニカル
マジなんです,独自の機能で,常識に
ウソみたい,エキスパートの,優等生
レンタルの,目視で出来ぬ,決断を
期せずして,置き換え可能,まるで神
人知れず,実現したよ,マジで神
製品の,優れたツール,金次第
製品で,優れた機能,大金星
新機能,優れた技術,コンテスト
耐え難い,ノウハウ持った,フレキシブル
拒否できぬ,光学知識,新機能
免れぬ,選ばれる理由,打合せ
逃げれない,知識を持った,コンタクト
SIの,プロの力で,出来レース
真似したい,次世代を担う,想定内
束の間の,アップテンポで,超高度
君だけの,ダウンサイズで,譲れない
君による,致し方ない,恐れない
設備との,とても真似できぬ,省みる
マシンとの,劣化コピーの,試みる
東京の,マイノリティでも,陥らず
どんな日も,あなた次第で,挑戦し
触れたとき,看板機能,劣化コピー
見えたとき,先端機能,真似したい
聞いたとき,先端技術,君次第
知ったとき,先端ツール,出来ること
嫉妬する,専売特許,やれること
エアダスト,選択可能,顔役だ
ユーザーの,マスク機能が,看板だ
演算で,入出力が,リアリティ
演算を,相性が良い,音がする
遠隔で,検査に特化し,近づいた
オフライン,技術に特化し,あるために
外観で,文明開化の,するために
外観を,時代錯誤の,すればいい
開始時に,どんなときでも,芯となる
外部機器,超特急で,芯がある
画角あり,すごい速さで,気がついた
拡大図,機械学習,目が覚めた
加工品,随時更新,苦ではない
加工して,バージョンアップで,無に返す
加工する,バージョンダウンで,作り出す
カスタムの,無限連鎖の,かつ速い
可視化して,無限のアイデア,かつ安い
画素数え,唯一の技術,ことでしょう
画素を見て,唯一の検査,こそですよ
画素だけで,一眼となり,そうでしょう
画素命,団結をして,そうですよ
画素単位,垣間見たとき,わずかです
画素つなげ,調整が終わり,だけでしょう？
画素区切り,形作られ,ですけども
すごい画素,代わりがいない,見てみたい
多い画素,かわしきれない,超えました
画素多い,肝心なとき,集まった
画像見て,半分自動で,優遇し
画像知り,ほとんど自動で,激増だ
画像撮り,限りなく自動,上昇だ
画像あり,オートモードで,きっかけだ
画像から,匠の技が,正念場
画像得て,,されました
画像置き,,待っててね
画像描き,派閥によらず,取り返す
画像欠き,過去に拘らず,置いといて
画像機器,未来に向けて,困ったな
画像切り,みんなの目指す,その日だけ
画像貼り,ハンドシェイクが,目的だ
画像幅,立体形状,予想した
画像増え,LEDの,見たこと無い
画像変,フォーカスばっちり,示したぜ
画像増し,ファイル形式,ヒューヒューだ
画像増す,微分積分,モリモリだ
画像無理,三角関数,ぐんぐんと
画像、目で,歩留まり改善,ぎゃんぎゃんと
画像、目を,改善要求,ワーワーと
画像持つ,プリント基板,メキメキと
画像待つ,形状判断,メラメラと
画像より,形状検査が,光栄だ
画像まで,方向検査が,名誉だね
画像だけ,気が利くツールで,褒め言葉
画像ほど,気が利く機能で,謳歌した
画像など,気が利く検査で,絶賛だ
画像やら,判断力が,褒めちぎる
画像のみ,仕事熱心,褒め称え
画像こそ,存在感が,愛好家
画像でも,超一流の,褒め上げる
画像しか,必ず達成,褒めたてる
画像さえ,夢見た世界,豊富だね
良い画像,財布に優しい,アグレッシブ
型式を,予算感覚,おかげだよ
稼働率,手前味噌です,モデルです
稼働する,一生懸命,爽やかだ
金型の,いつも全力,正しいね
金型を,アグレッシブな,キレイだね
監視する,訪問営業,さすがだね
監視され,見て見ぬ振りの,優しいね
カメラなら,昔ながらの,豊かだね
カメラでも,前人未到の,親切だ
カメラしか,以心伝心,助かるよ
カメラより,切磋琢磨で,大きいね
カメラまで,一石二鳥の,決断力
カメラだけ,自画自賛です,男前
カメラほど,臨機応変,しているね
カメラやら,電光石火の,おめでとう
カメラのみ,虎視眈々と,検査機を
カメラこそ,七転八倒,自動化を
カメラさえ,正々堂々,検査です
良いカメラ,一蓮托生,アルゴリズム
画面見て,前代未聞の,合言葉
環境で,サポートばっちり,青天井
完成品,反応が速い,有頂天
機械化で,聞き耳立てる,紙一重
機械化を,人より速い,間一髪
機械化は,目視に勝る,几帳面
規格外,機械で出来ぬ,金字塔
規格上,やっぱりすごい,下剋上
機械では,出来すぎ注意,原動力
機械なら,世界基準の,最高潮
機械でも,検査は抜群,直談判
GigEは,抜群性能,集大成
危険なら,ずば抜けている,上機嫌
機種切り替え,協力的な,真骨頂
欠陥に,献身的な,神通力
欠陥で,超人的な,助太刀だ
欠陥を,検出手法が,瀬戸際だ
欠陥は,検査手法が,先駆者だ
欠陥の,検出精度が,太鼓判
欠陥と,検査精度が,低姿勢
欠陥が,工数かけずに,登竜門
欠陥も,コスパが際立つ,土壇場で
欠陥や,コスパに優れた,長丁場
基板上,ポケットサイズの,破天荒
キャプチャーし,新進気鋭の,他人事
キャリパーを,自信あります,仏頂面
キャリパーで,覚悟があります,本調子
キャリパーは,,真人間
ギャップあり,,無尽蔵
共通の,,目一杯
曲面も,,屋台骨
緊急の,,夢心地
緊急時,,用心棒
緊急で,,乱高下
金属を,,両極端
金属も,,好奇心
金属や,,いつまでも
近似値で,,永遠に
屈折の,,叶えたい
計測で,,兼ね備え
計測が,,大成功
計測を,,使いどき
計測に,,みんな買う
計測と,,当然だ
計測は,,もちろんね
計測も,,中毒性
計算上,,スーパーマン
検査でも,,やってやる
検査しか,,やってきた
検査より,,思います
検査まで,,強い武器
検査だけ,,みな同じ
検査ほど,,慣れている
検査やら,,お馴染みの
検査のみ,,新常識
検査こそ,,もう定番
検査さえ,,そうなのか？
検討し,,スピーディ
顕微鏡,,ハイエンド
研磨した,,可視化する
研磨して,,大満足
光源を,蔓延している,大人気
光源に,綺麗にまとめる,そう聞いた
光源も,記録に残る,言っていた
公差なら,歴史に残る,本来は
光軸を,世界に轟く,お断り
光軸に,机上の空論,出せるなら
光軸も,理論武装で,間違いない
工数を,対応力でも,わかってない
工数に,応用性が,全く無い
工数と,改造もできる,なるほどね
工数は,改造しやすい,いつもより
工数も,ユーザー目線の,他社よりも
効率化,ユーザーの気持ち,十分だ
効率を,ユーザーだけが,気持ちだけ
効率と,ユーザーによる,裏技で
効率は,僕と君との,予算以内
効率も,我々こそが,表明し
小型化は,我が道ゆかん,書類だけ
小型化で,突き進む道,アンケート
小型化を,未知なる世界へ,陳述書
黒点を,秘密保持だね,謝罪する
誤差わずか,僕たちだけの,認められ
,そんなわけない,受け止める
差異わずか,出来ると信じ,幕引きに
最小の,進む未来が,守り抜く
最大の,言い聞かせ歩む,不誠実
最上の,デンジャラスゾーン,真正面
最低の,未知との遭遇,続いてく
作業台,ここまで来たか。。。,追い込んだ
さび検査,どれだけ進めば,聞かせてよ
座標見て,たどり着くのだろう,即席で
サプライヤ,信じた未来に,まとめ買い
サムネイル,思いつく限り,時間内
サーチなら,力の限り,考えた
サーチでも,言うは易く,セットです
サーチより,行うは難し,おまけです
サーチまで,万全体制,はじめよう
サーチこそ,望む所存で,お得だね
サーチさえ,そうでありたい,刮目せよ
,希望に満ちた,バズワード
しきい値を,現状認識,幻想だ
下請けの,沈む夕日に,みたいだね
実測で,冬の寒さと,時短だね
実測に,煙に巻かれる,摩訶不思議
実測を,口ずさみつつ,ナイトメア
実測は,奏でるかの様,プロローグ
自動化を,その姿まるで,エピローグ
自動化に,携え挑む,エンドロール
自動化と,すんなり通れば,レクイエム
自動化は,行く先々に,サンクチュアリ
自動化も,ばったばったと,トリックスター
樹脂検査,軽やかに舞う,ユートピア
樹脂ショート,奇妙奇天烈,クレイジー
,風光明媚な,デスティニー
初期化して,一切合切,イリュージョン
照明に,てんでバラバラ,モティベーション
照明は,飛ぶ鳥落とす,ミリオネア
照明も,口コミ広がる,ビリオネア
消耗品,ファン増やしつつ,レジェンド級
主軸長,愛され上手の,超ド級
主軸角,背中で語る,たまげたな～
主軸幅,五感に訴え,all the way
信号を,願えば叶う,イノベーション
信号で,業界騒然,がんばり屋
ストロボは,ルール無用の,のうてんき
ストロボを,文化に根付いた,突破口
ステンレス,磨き抜かれた,覆す
スペーサー,融合合体,あばれる君
スマートフォン,先陣切った,いい意味で
寸法で,怒涛のラッシュ,生産性
寸法は,アバンギャルドな,ございません
寸法を,要求満たす,摩天楼
精度なら,クリティカルヒット,画期的
精度でも,アーリーアクセス,クールだね
精度まで,スマッシュヒットだ,パーフェクト
精度こそ,ストライクゾーン,超神速
精度さえ,パイオニアだぜ,アビリティ
積算で,シェアを独占,アドレナリン
積算が,ブルーオーシャン,タイフーン
積算に,レッドオーシャン,ネガティブだ
積算と,約束の土地へ,セルフィッシュ
積算は,チェックメイトだ,フルタイム
積算も,まるでギャラクシー,ハートフル
絶対値,ハイブリッドの,プリティね
接点が,感染拡大,ジグザグだ
接点を,ポーカーフェイスで,テクノロジー
設定で,シンクロニシティ,リメンバー
設定を,検査モンスター,ファクトリー
設定は,インスペクション,暇なんて
設定も,ファイナルウェポン,なかったし
センサーで,シークレットウェポン,一人ぼっち
センサーが,魔法のような,無いのかな
センサーを,アクロバティック,捨てちゃえ
センサーは,サイバー攻撃,過ぎていく
センサーの,ステルスアタック,お手の物
先端で,まるでファンタジー,死んでいく
先端を,ファンタスティック,夢を見る
先端に,噛めば噛むほど,砕かれた
測定で,ストロングスタイル,ゼロになる
測定が,ファイティングポーズで,満たされた
測定を,サクセスストーリー,I want you
測定に,100万ドルの,I need you
測定と,キンキンキラキラ,I love you
測定は,全期通して,帰らない
測定も,人生をかけた,帰れない
率先し,カミカゼアタック,とは言えず
ソベル値で,運否天賦の,しか言えず
タクトなら,無冠の帝王,でも言えず
タクトより,文武両道,だから好き
タクトまで,鬼のいぬ間に,そして勝つ
注文書,勇猛果敢に,だから勝つ
通信で,やっぱりこれだね,とも言えぬ
通信が,アイディア満載,特化した
通信を,切り抜けられる,するまでの
通信に,打破する強さ,潔く
通信と,固定概念,まとまらず
通信は,カルチャーショックな,苦にならず
通信も,みんな巻き込む,楽できる
デジタルで,市場巻き込む,困ります
デジタルが,器量が違う,困りません
デジタルを,度量が違う,とりあえず
デジタルに,チェーンリアクション,に近いかも
デジタルと,連鎖反応,までの過程
デジタルは,敷かれたレールを,なる過程
デジタルも,どきどきわくわく,までの道
点検で,スピードスター,コミッション
点検が,マルチにこなす,注ぎ込む
点検を,,絵を描く
点検に,海外事業も,功となす
点検と,世界展開,量がある
点検は,大型発注,妙である
点検も,頭でっかち,平手打ち
同軸で,三日坊主の,没個性
同軸は,修行を積んだ,個性的
動的の,苦行耐え抜く,おぼつかない
動的で,満身創痍の,ままである
特注で,,示してる
特注が,危機に備えた,足取りで
特注を,ある意味すごい,その指で
特注に,例えるならば,片付ける
特注と,子曰くそれは,整えて
特注は,つまるところの,信憑性
特注も,とどのつまり,頭脳戦
トータルで,プラットフォーム,情報線
トータルが,メインユーザー,最前線
トータルを,リアルタイムで,もたらした
トータルに,システム依存,ペアとなる
トータルと,ワールドワイド,対になる
トータルは,ビジネスレベルの,ついになる
トータルも,ワールドクラスの,押さえつけ
ドーム状,左右されない,取り組んで
ドライバー,上下関係,意図がある
取り付ける,無駄を省いた,不十分
設置する,手間を省いた,脳ぷりぷり
トリガーで,手間をかけない,見逃すな！
トリガーが,スタイリッシュな,みなされる
トリガーを,知的財産,here we go!
トリガーに,システム要件,be all right!
トリガーと,スナック感覚,shall we dance?
トリガーは,パリッとサクッと,I agree
トリガーも,ビシッと決まる,Are you sure?
トリミング,ゆったり優雅な,This is it.
トレーニング,どっしり構え,ウルトラソウル
流れ作業,こと思いふける,行き詰まり
二次元で,のらりくらりと,ドンづまり
二次元が,ガンガンいこうぜ,ビッグバン
二次元を,バッチリがんばれ,見る世界
二次元に,いろいろやろうぜ,大企業
二次元と,MPつかうな,存在する
二次元は,いのちだいじに,正社員
二次元も,めいれいさせろ,ウィキペディア
三次元,これで終わらない,ごく一部
ニーズまで,夢は終わらない,目撃談
ニーズほど,信じてる限り,全員が
ニーズこそ,果てしない空,足りてない
ニーズさえ,ふるえるぞハート,生き残り
